chemin ,class ,classe_LOC ,classe_CLOC ,classe_DC ,WMC ,classe_BC 
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartColor.java,ChartColor,149,79,0.5302013,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartFactory.java,ChartFactory,1914,916,0.4785789,144,0.0033234647
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartFrame.java,ChartFrame,82,58,0.70731705,3,0.23577236
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartHints.java,ChartHints,95,70,0.7368421,3,0.24561404
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartMouseEvent.java,ChartMouseEvent,95,68,0.7157895,1,0.7157895
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartMouseListener.java,ChartMouseListener,58,52,0.8965517,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartPanel.java,ChartPanel,2766,1146,0.4143167,288,0.0014385997
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartRenderingInfo.java,ChartRenderingInfo,231,134,0.5800866,12,0.048340548
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartTheme.java,ChartTheme,53,49,0.9245283,0,0.0
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartTransferable.java,ChartTransferable,247,143,0.57894737,12,0.048245613
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/ChartUtils.java,ChartUtils,650,397,0.6107692,48,0.012724359
/media/william/4281-C1D4/udem/quali_logiciel/TPs/1TP/GITREP/src/jfreechart/src/main/java/org/jfree/chart/HashUtils.java,HashUtils,318,190,0.5974843,16,0.03734277
